what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1270226047246
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1270226047248
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1270226047248
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1270226047248
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1270226047263
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1270226047264
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1270226047264
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1270226047264
os,sysinfo,,,"macosx",1270226047268
arch,sysinfo,,,"x86",1270226047268
ws,sysinfo,,,"cocoa",1270226047268
locale,sysinfo,,,"en_US",1270226047268
processors,sysinfo,,,"2",1270226047268
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1270226047268
java.runtime.version,sysinfo,,,"1.5.0_22-b03-333-9M3125",1270226047268
java.specification.name,sysinfo,,,"Java Platform API Specification",1270226047268
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270226047268
java.specification.version,sysinfo,,,"1.5",1270226047268
java.vendor,sysinfo,,,"Apple Inc.",1270226047268
java.version,sysinfo,,,"1.5.0_22",1270226047268
java.vm.info,sysinfo,,,"mixed mode",1270226047268
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270226047268
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270226047268
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270226047268
java.vm.specification.version,sysinfo,,,"1.0",1270226047268
java.vm.vendor,sysinfo,,,"Apple Inc.",1270226047268
java.vm.version,sysinfo,,,"1.5.0_22-147",1270226047268
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1270226047490
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1270226047595
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1270226047610
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1270226047718
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1270226047787
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1270226047868
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1270226047916
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1270226048037
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1270226048049
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1270226048184
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1270226048185
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1270226048291
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270226048358
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270226048366
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1270226048372
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226048893
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226163663
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226192014
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226196695
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226200473
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226201597
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226201995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270226359050
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1271810930167
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1271810930168
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1271810930169
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1271810930169
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1271810930169
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1271810930170
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1271810930171
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1271810930172
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1271810930172
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1271810930173
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1271810930173
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1271810930174
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1271810930175
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1271810930175
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1271810930176
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1271810930176
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1271810930176
